gene_index_in_Xraw	gene_name	rf_importance
6789	gene_6788	0.02185636554594252
15583	gene_15582	0.01670265453654601
18746	gene_18745	0.01644755343694154
7965	gene_7964	0.01630138450506031
6719	gene_6718	0.015293264162590983
5597	gene_5596	0.015291850577836982
17801	gene_17800	0.014208610764048491
9706	gene_9705	0.013732130183164376
5443	gene_5442	0.013473368368192441
15896	gene_15895	0.013272893620389015
15895	gene_15894	0.013248215122350148
9184	gene_9183	0.012630564165425996
8408	gene_8407	0.012452693017592059
10850	gene_10849	0.01208667976991345
17904	gene_17903	0.01156464406760613
18135	gene_18134	0.011284592810149445
13007	gene_13006	0.011179632757503867
6747	gene_6746	0.010278078274824957
15898	gene_15897	0.01012259356309406
9198	gene_9197	0.009844028452686093
